epoch,learning_rate,loss,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
0.66,0.0001856111668541094,2.5219,3450,2.454232692718506,504.8936,31.658,7.915
0.67,0.00017663013649912008,2.4366,3500,2.4500300884246826,511.4964,31.249,7.812
0.68,0.00016775157411454968,2.4593,3550,2.448324203491211,500.1465,31.959,7.99
0.69,0.00015898787945452562,2.4501,3600,2.444789171218872,502.4844,31.81,7.952
0.7,0.00015035129184950784,2.4407,3650,2.4416751861572266,501.6284,31.864,7.966
0.71,0.0001418538731129032,2.4124,3700,2.439314365386963,502.3682,31.817,7.954
0.72,0.00013350749069559946,2.4315,3750,2.437835454940796,499.6281,31.992,7.998
0.73,0.00012532380111194498,2.4551,3800,2.4348034858703613,498.6154,32.057,8.014
0.74,0.0001173142336603216,2.4333,3850,2.4323980808258057,502.4202,31.814,7.954
0.75,0.00010948997446104522,2.4379,3900,2.4310414791107178,511.0921,31.274,7.819
0.76,0.00010186195083388916,2.4307,3950,2.428926944732666,514.1699,31.087,7.772
0.77,9.444081603704524e-05,2.4361,4000,2.427125930786133,498.714,32.05,8.013
0.78,8.72369343888392e-05,2.4176,4050,2.4253692626953125,510.5939,31.305,7.826
0.79,8.026036679297735e-05,2.4292,4100,2.423396587371826,507.9589,31.467,7.867
0.8,7.352085668754072e-05,2.4476,4150,2.4213955402374268,503.9792,31.716,7.929
0.81,6.702781643735023e-05,2.4302,4200,2.4210171699523926,488.4835,32.722,8.18
0.82,6.079031418870645e-05,2.4751,4250,2.4189093112945557,486.808,32.834,8.209
0.83,5.493388204399094e-05,2.3977,4300,2.4175586700439453,486.7369,32.839,8.21
0.84,4.922768939944452e-05,2.4213,4350,2.416167974472046,488.7719,32.702,8.176
0.85,4.380189432144538e-05,2.3796,4400,2.415283441543579,488.3299,32.732,8.183
0.86,3.8664074447227694e-05,2.4164,4450,2.4139418601989746,489.1776,32.675,8.169
0.87,2.928064991450327e-05,2.413,4550,2.4120328426361084,486.1483,32.879,8.22
0.88,2.5048150097978868e-05,2.4313,4600,2.4109089374542236,483.3323,33.07,8.268
0.89,2.112981686704643e-05,2.4059,4650,2.41019344329834,482.972,33.095,8.274
0.9,1.753112254555195e-05,2.4271,4700,2.4096977710723877,487.9756,32.756,8.189
0.91,1.4257093051299714e-05,2.4536,4750,2.4090235233306885,483.8403,33.036,8.259
0.92,1.1312300876882343e-05,2.4308,4800,2.4085707664489746,485.6553,32.912,8.228
0.93,8.700858703760694e-06,2.3919,4850,2.4082326889038086,486.4963,32.855,8.214
0.94,6.426413658514929e-06,2.4095,4900,2.4079689979553223,483.8581,33.034,8.259
0.95,4.4921422192859275e-06,2.4051,4950,2.4076199531555176,485.5519,32.919,8.23
0.96,2.900745779522679e-06,2.4204,5000,2.4074552059173584,508.6352,31.425,7.856
0.97,1.6544468752303088e-06,2.4059,5050,2.4073755741119385,483.8987,33.032,8.258
0.98,7.549860809875353e-07,2.405,5100,2.4073262214660645,483.2324,33.077,8.269
0.99,2.0361957906944728e-07,2.4274,5150,2.4072983264923096,491.1547,32.544,8.136
1.0,1.1174050699169768e-09,2.3859,5200,2.4072911739349365,487.337,32.799,8.2
